ticker,symbol,name,exchange,price,volume,ma5,ma10,dev5,dev10,gain3,gain5,dayLow,dayHigh,dayOpen,base_date,year_prev_high,three_year_prev_high,history_prev_high,year_high,three_year_high,year_high_breakout,three_year_high_breakout,all_time_high_breakout,year_high_distance,three_year_high_distance,new_year_high,new_3y_high,new_all_time_high,near_year_high_10pct,near_3y_high_10pct,ma20,ma50,ma120,ma200,ma250,rsi14,macd,macd_signal,macd_histogram,atr14,atr14_pct,distance_ma5,ma5_slope,distance_ma10,ma10_slope,distance_ma20,ma20_slope,distance_ma50,ma50_slope,distance_ma120,ma120_slope,distance_ma200,ma200_slope,avg_volume_5d,avg_volume_20d,avg_volume_60d,volume_ratio_20d,volume_ratio_60d,high_20d,low_20d,drawdown_20d_high,distance_to_20d_high,high_60d,low_60d,drawdown_60d_high,distance_to_60d_high,high_120d,low_120d,drawdown_120d_high,distance_to_120d_high,high_250d,low_250d,drawdown_250d_high,distance_to_250d_high,pct_from_52w_high,pct_from_52w_low,return_1d,return_5d,return_10d,return_20d,return_60d,return_120d,return_250d,open,high,low,close,previous_day_high,previous_day_low,daily_return,close_above_previous_high,close_below_previous_low,no_new_low_3d,no_new_low_5d,higher_low,higher_high,reclaim_ma5,reclaim_ma10,reclaim_ma20,lower_shadow_ratio,upper_shadow_ratio,intraday_recovery,gap_down,gap_down_recovery,up_day_volume_expansion,down_day_volume_contraction,reversal_score,reversal_signal,reversal_stage,trend_state_raw,trend_state,trend_state_previous,trend_state_changed,trend_state_change_reason,trend_state_shock,location_state,technical_regime,setup_types,bottoming_eligible,bottoming_score,trend_recovery_score,trend_strength_score,near_high_score,breakout_score,relative_strength_score,technical_deterioration_score,technical_score,previous_state_available,previous_state_date,trend_state_initialized,trend_state_reinitialized,previous_state_file_status,sector,sector_benchmark,rs_5d_vs_spy,rs_5d_vs_qqq,rs_5d_vs_sector,rs_10d_vs_spy,rs_10d_vs_qqq,rs_10d_vs_sector,rs_20d_vs_spy,rs_20d_vs_qqq,rs_20d_vs_sector,rs_60d_vs_spy,rs_60d_vs_qqq,rs_60d_vs_sector,rs_improving_5d,rs_improving_10d,residual_5d,residual_10d,residual_20d,residual_60d,data_coverage_score,setup_type,index_data_status,sp500_member,sp400_member,sp600_member,russell1000_member,russell2000_member,russell3000_member,nasdaq100_member,sp500_eligibility,ndx_eligibility,estimated_passive_buy_usd,passive_buy_to_adv,index_catalyst_score,consecutive_3d_gain,consecutive_5d_gain,break_pullback_ma5,break_ma5_pullback_ma10,technical_percentile,bottoming_percentile,reversal_percentile,trend_recovery_percentile,trend_strength_percentile,near_high_percentile,breakout_percentile,relative_strength_percentile,marketCap,marketCapSource,marketCapRetrievedAt,Ticker,Market_Cap,Universe_AsOf_Date,Technical_AsOf_Date,MarketCap_Source,MarketCap_AsOf_Date,Company,Latest_Earnings_Date,Fundamental_Revision_State,Fundamental_Score,Guide_Direction,EPS_Revision,Revenue_Revision,Orders_Trend,Backlog_Trend,RPO_Trend,Core_KPI_Trend,Gross_Margin_Trend,Operating_Margin_Trend,FCF_Trend,Demand_Commentary,Customer_Commentary,Thesis_Breaker,Fundamental_Data_Status,Fundamental_Data_Coverage,Source,AsOf_Date,Fundamental_AsOf_Date,Catalyst_AsOf_Date,Technical_Percentile,RS_Percentile,Technical_Score,Catalyst_Score,Catalyst_Tags,Opportunity_Score,Type_A_Score,Type_B_Score,Type_C_Score,Type_D_Score,Opportunity_Type,Primary_Opportunity_Type,Core_Opportunity,Why_Now,Main_Risk,Next_Trigger,Invalidation
MSFT,MSFT,Microsoft Corporation - Common Stock,Nasdaq,516.17,37985485,502.859995,499.865996,2.65,3.26,3.65,4.53,497.3,519.4,499.14,2026-09-25,517.78,555.45,555.45,519.4,555.45,0.31,-6.49,-6.49,0.62,7.07,True,False,False,True,True,500.040501,475.811599,433.632665,432.060899,447.124279,59.889504,6.781465,7.551216,-0.769751,10.942147,2.119873,2.646861,0.012051,3.261675,-0.000698,3.225639,0.018599,8.482013,0.184015,19.033929,-0.046071,19.466955,-0.081125,24740277.0,21803509.25,29065749.75,1.742173,1.306881,519.400024,486.0,-0.621876,0.621876,519.400024,373.350006,-0.621876,0.621876,519.400024,349.200012,-0.621876,0.621876,553.719971,349.200012,-6.781401,6.781401,-6.781401,47.815001,0.036632,0.045344,0.041442,0.021997,0.343213,0.384279,0.009209,499.1400146484375,519.4000244140625,497.2999877929688,516.17,498.8999938964844,491.2200012207031,0.036632,True,False,False,False,False,True,True,False,True,0.083259,0.146155,False,False,False,True,False,33.33,False,,Uptrend,Uptrend,,False,raw state accepted,False,Breakout,R7 Breakout / New High,"['Breakout', 'New High']",False,0.0,50.0,71.43,95.02,80.0,,0.0,64.66,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,"Breakout, New High",Not Implemented Yet,,,,,,,,,,,,,False,False,False,True,99.9624,,90.6854,96.5352,98.1033,97.7653,99.8967,,36974.01866334,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,MSFT,3697401866334.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,MSFT | Microsoft FY2026 Q4 Post-Earnings Review,2026-07-30,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\msft-review-2026-07-30.json,2026-07-30,2026-07-30,,99.9624,0.0,59.98,0.0,,68.99,63.17,69.46,80.01,70.49,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
SMCI,SMCI,"Super Micro Computer, Inc. - Common Stock",Nasdaq,43.26,49126083,41.79,39.762,3.52,8.8,4.14,10.67,41.9,43.76,42.015,2026-09-25,51.4,122.9,122.9,51.4,122.9,-14.86,-64.39,-64.39,15.84,64.8,False,False,False,False,False,38.991,35.032,32.990417,31.7939,34.3458,58.709067,1.745048,1.491168,0.253879,2.324285,5.372828,3.517589,0.107489,8.797345,0.040345,10.948681,0.122495,23.487098,0.049346,31.12899,-0.033776,36.063836,-0.262862,40670276.6,37952884.15,45680836.383333,1.294397,1.07542,43.76,35.360001,-1.142596,1.142596,43.76,23.379999,-1.142596,1.142596,51.400002,21.790001,-15.836578,15.836578,58.779999,19.48,-26.403537,26.403537,-26.403537,122.073927,0.042159,0.106677,0.078803,0.124805,0.564557,0.961905,-0.055871,42.01499938964844,43.76,41.9,43.26,42.27999877929688,39.84999847412109,0.042159,True,False,False,False,False,True,False,False,False,0.061828,0.268817,False,False,False,True,False,33.33,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,0.0,16.67,71.43,90.86,60.0,,0.0,60.56,False,,True,False,Missing,Technology,XLK,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,99.7371,,90.6854,69.3615,98.1033,96.6009,99.1831,,272.7063309,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,SMCI,27270633090.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,"SMCI | Super Micro Computer, Inc. FY2026 Q4 Earnings Preview",2026-08-09,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\smci-preview-2026-08-09.json,2026-08-09,2026-08-09,,99.7371,0.0,59.84,0.0,,68.94,63.17,61.31,79.9,70.44,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
QCOM,QCOM,QUALCOMM Incorporated - Common Stock,Nasdaq,201.97,17757473,197.194,190.519,2.42,6.01,1.87,13.65,194.53,205.853,195.4,2026-09-25,259.92,259.92,259.92,259.92,259.92,-20.8,-20.8,-20.8,22.3,22.3,False,False,False,False,False,181.154001,170.2416,181.094917,169.13115,169.26372,72.825917,7.92098,5.773709,2.14727,10.3188,5.109075,2.42198,0.072616,6.010424,0.109029,11.490775,0.125358,18.637278,-0.179237,11.52715,0.148153,19.416205,0.073273,13312834.6,14561513.65,12724059.55,1.21948,1.395582,205.853195,161.899994,-1.886391,1.886391,205.853195,142.889999,-1.886391,1.886391,259.920013,121.989998,-22.295326,22.295326,259.920013,121.989998,-22.295326,22.295326,-22.295326,65.562754,0.039689,0.136451,0.109908,0.225695,0.110213,0.606379,0.193676,195.3999938964844,205.8531951904297,194.52999877929688,201.97,196.7700042724609,191.75,0.039689,True,False,False,True,False,True,False,False,False,0.076833,0.342942,False,False,False,True,False,33.33,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,0.0,16.67,57.14,84.91,60.0,,0.0,56.27,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,98.892,,90.6854,69.3615,92.5258,95.3427,99.1831,,2040.18441493,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,QCOM,204018441493.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,QCOM | Qualcomm FY2026 Q3 Earnings Preview,2026-07-25,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\qcom-preview-2026-07-25.json,2026-07-25,2026-07-25,,98.892,0.0,59.34,0.0,,68.74,63.17,61.31,78.51,70.27,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
ANET,ANET,"Arista Networks, Inc. Common Stock",NYSE,206.55,4349414,205.266,200.343998,0.63,3.1,0.66,3.59,205.525,212.0,208.205,2026-09-25,214.89,214.89,214.89,214.89,214.89,-1.34,-1.34,-1.34,3.88,3.88,False,False,False,True,True,196.578,190.233,173.299083,157.0391,153.7328,62.173501,4.206057,3.299754,0.906303,7.510642,3.636234,0.62553,0.050373,3.097673,0.039064,5.072796,0.01522,8.577376,0.183807,19.187012,0.288108,31.527753,0.393037,4288402.8,4768770.7,6680458.566667,0.912062,0.651065,212.0,181.270004,-2.570755,2.570755,214.889999,156.649994,-3.881055,3.881055,214.889999,127.550003,-3.881055,3.881055,214.889999,114.519997,-3.881055,3.881055,-3.881055,80.361514,0.004132,0.03591,0.034872,0.027152,0.239647,0.63604,0.449474,208.2050018310547,212.0,205.5249938964844,206.55,206.5399932861328,198.7570037841797,0.004132,True,False,False,False,False,True,False,False,False,0.158302,0.5861,False,False,False,False,False,16.67,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,0.0,16.67,71.43,68.95,40.0,,0.0,51.33,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,97.0329,,71.8122,69.3615,98.1033,92.1972,95.2113,,2594.33910094,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,ANET,259433910094.00003,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,"ANET | Arista Networks, Inc. FY2026 Q2 财报复盘",2026-08-05,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\anet-review-2026-08-05.json,2026-08-05,2026-08-05,,97.0329,0.0,58.22,0.0,,68.29,58.45,61.31,79.31,69.88,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",Nasdaq,630.63,17516535,622.758007,572.881008,1.26,10.08,1.1,12.65,625.52,638.95,634.61,2026-09-25,630.8,630.8,630.8,638.95,638.95,1.29,1.29,1.29,1.3,1.3,True,True,True,True,True,528.104002,504.713003,465.571751,364.753551,336.95396,80.390754,36.480613,22.281297,14.199316,26.209276,4.156046,1.264053,0.190733,10.080451,0.185287,19.413979,0.094366,24.948237,0.017005,35.452806,1.112255,72.89208,1.373831,26390147.0,21621521.75,24199263.916667,0.810143,0.723846,638.950012,440.5,-1.302138,1.302138,638.950012,424.029999,-1.302138,1.302138,638.950012,215.380005,-1.302138,1.302138,638.950012,159.330002,-1.302138,1.302138,-1.302138,307.436365,0.002177,0.126487,0.221843,0.322991,0.165933,1.864157,2.954785,634.610107421875,638.9500122070312,625.52,630.63,630.7999877929688,599.239990234375,0.002177,False,False,False,True,False,True,False,False,False,0.380491,0.32315,False,False,False,False,False,16.67,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,0.0,16.67,71.43,89.58,20.0,,0.0,50.21,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,96.2535,,71.8122,69.3615,98.1033,96.3192,78.6667,,10272.51244929,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,AMD,1027251244929.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,"AMD | Advanced Micro Devices, Inc. FY2026 Q2 财报复盘",2026-08-05,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\amd-review-2026-08-05.json,2026-08-05,2026-08-05,,96.2535,0.0,57.75,0.0,,68.1,58.45,61.31,76.83,69.71,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
PLTR,PLTR,Palantir Technologies Inc. - Class A Common Stock,Nasdaq,189.67,17677784,188.425998,181.621999,0.66,4.43,2.53,6.77,189.35,194.214,192.86,2026-09-25,194.68,207.52,207.52,194.68,207.52,-0.24,-6.41,-6.41,2.57,8.6,False,False,False,True,True,178.402499,163.926799,147.109041,152.023625,157.48052,69.358911,6.098507,5.074557,1.023951,5.818,3.067433,0.660207,0.077841,4.431182,0.036756,6.315775,0.062799,15.704083,0.236736,28.931573,-0.113112,24.763503,0.067043,23894316.8,26355794.2,36429779.733333,0.670736,0.485256,194.679993,164.550003,-2.57345,2.57345,194.679993,117.889999,-2.57345,2.57345,194.679993,106.370003,-2.57345,2.57345,207.520004,106.370003,-8.601582,8.601582,-8.601582,78.311549,-0.015162,0.067721,0.134186,0.020115,0.50855,0.282161,0.068142,192.8600006103516,194.2140045166016,189.35,189.67,194.67999267578125,188.2400054931641,-0.015162,False,False,True,True,False,True,False,False,False,0.065789,0.278372,False,False,False,False,True,16.67,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,8.72,16.67,71.43,79.41,20.0,,0.0,50.03,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,96.0939,,71.8122,69.3615,98.1033,94.4977,78.6667,,4626.11479713,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,PLTR,462611479713.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,PLTR | Palantir FY2026 Q2 Post-Earnings Review,2026-08-04,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\pltr-review-2026-08-04.json,2026-08-04,2026-08-04,,96.0939,0.0,57.66,0.0,,68.06,58.45,61.31,76.83,69.68,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
AAPL,AAPL,Apple Inc. - Common Stock,Nasdaq,341.07,29649787,338.548003,336.27,0.74,1.43,0.39,1.47,334.53,341.67,336.04,2026-09-25,345.34,345.34,345.34,345.34,345.34,-1.06,-1.06,-1.06,1.24,1.24,False,False,False,True,True,329.396,321.831999,304.330083,287.766349,283.421599,74.39873,6.210878,5.407875,0.803003,6.813575,1.997706,0.744945,0.013641,1.427424,0.042627,3.544062,0.064898,5.977653,0.06688,12.072391,0.148936,18.52324,0.26041,32350537.4,42877694.35,47146133.116667,0.691497,0.628891,345.339996,309.899994,-1.236462,1.236462,345.339996,293.679993,-1.236462,1.236462,345.339996,245.699997,-1.236462,1.236462,345.339996,243.419998,-1.236462,1.236462,-1.236462,40.11585,0.015331,0.014697,0.026485,0.084208,0.158605,0.317585,0.335121,336.0400085449219,341.6700134277344,334.5299987792969,341.07,338.9100036621094,334.29998779296875,0.015331,True,False,False,True,False,False,True,False,False,0.211486,0.084035,False,False,False,False,False,0.0,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,0.0,16.67,57.14,90.11,40.0,,0.0,47.3,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,False,True,93.6338,,29.1643,69.3615,92.5258,96.4695,95.2113,,49024.769456,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,AAPL,4902476945600.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,AAPL | Apple Inc. FY2026 Q3 Post-Earnings Review,2026-07-31,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\aapl-review-2026-07-31.json,2026-07-31,2026-07-31,,93.6338,0.0,56.18,0.0,,67.47,47.79,61.31,77.91,69.16,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
INTC,INTC,Intel Corporation - Common Stock,Nasdaq,123.0,96982345,123.725999,113.141,-0.59,8.71,-0.69,13.26,122.84,126.93,126.88,2026-09-25,142.35,142.35,142.35,142.35,142.35,-10.83,-10.83,-10.83,13.59,13.59,False,False,False,False,False,104.542501,99.0524,102.471583,79.20185,70.90584,71.815842,7.171192,4.246253,2.924938,6.944286,5.645761,-0.58678,0.206424,8.713905,0.17924,17.655498,0.09008,24.176699,-0.1572,20.033278,1.427081,55.299403,2.017127,120383589.0,105676047.25,108794345.75,0.917733,0.891428,127.440002,85.720001,-3.483994,3.483994,130.740005,81.790001,-5.920151,5.920151,142.350006,51.220001,-13.59326,13.59326,142.350006,32.889999,-13.59326,13.59326,-13.59326,294.104465,-0.034461,0.132597,0.194871,0.33565,-0.031649,1.422214,2.464789,126.87999725341795,126.93000030517578,122.83999633789062,123.0,127.44000244140624,119.5500030517578,-0.034461,False,False,True,True,False,True,False,False,False,0.039121,0.012226,False,False,False,False,True,16.67,False,,Uptrend,Uptrend,,False,raw state accepted,False,Near High,R5 Strong Trend,['Near High'],False,18.76,16.67,57.14,52.64,20.0,,0.0,44.45,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,Near High,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,91.0892,,71.8122,69.3615,92.5258,87.493,78.6667,,6732.65005006,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,INTC,673265005006.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,INTC | Intel FY2026 Q2 Post-Earnings Review,2026-07-24,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\intc-review-2026-07-24.json,2026-07-24,2026-07-24,,91.0892,0.0,54.65,0.0,,66.86,58.45,61.31,75.43,68.63,TYPE B,TYPE B,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
LRCX,LRCX,Lam Research Corporation - Common Stock,Nasdaq,315.21,7588981,308.577999,291.389997,2.15,8.17,1.37,9.41,307.5,317.13,309.08,2026-09-25,438.5,438.5,438.5,438.5,438.5,-27.68,-27.68,-27.68,28.12,28.12,False,False,False,False,False,296.4305,304.583799,309.807499,270.932249,246.784199,53.20448,-1.419323,-5.052496,3.633173,14.21,4.508106,2.149214,0.125367,8.174612,-0.033439,6.335212,-0.059391,3.488761,-0.092149,1.743825,0.608404,16.342739,1.587723,9152896.2,9251459.05,9899638.016667,0.820301,0.766592,322.209991,265.369995,-2.172494,2.172494,392.5,250.5,-19.69172,19.69172,438.5,216.5,-28.116306,28.116306,438.5,130.809998,-28.116306,28.116306,-28.116306,152.127666,0.026208,0.094061,0.056971,-0.010578,-0.194372,0.428552,1.456246,309.0799865722656,317.1300048828125,307.5,315.21,307.2200012207031,298.8599853515625,0.026208,True,False,True,True,False,True,False,False,False,0.164069,0.199377,False,False,False,False,False,50.0,True,Watch,Mixed / Neutral,Mixed / Neutral,,False,raw state accepted,False,Deep Pullback,R3 Reversal,"['Reversal', 'Bottoming']",True,50.08,16.67,42.86,0.0,20.0,,0.0,44.32,False,,True,False,Missing,,,,,,,,,,,,,,,,,,,,,86.27,"Reversal, Bottoming",Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,90.7981,49.766,97.3709,69.3615,82.2723,33.7089,78.6667,,3843.5575836,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,LRCX,384355758360.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,LRCX | Lam Research FY2026 Q4 Post-Earnings Review,2026-07-30,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\lrcx-review-2026-07-30.json,2026-07-30,2026-07-30,,90.7981,0.0,54.48,0.0,,66.79,79.77,61.31,72.87,68.57,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
AMAT,AMAT,"Applied Materials, Inc. - Common Stock",Nasdaq,485.0,5179419,474.065997,449.306,2.31,7.94,2.65,9.09,476.36,487.68,478.885,2026-09-25,739.67,739.67,739.67,739.67,739.67,-34.07,-34.07,-34.07,34.43,34.43,False,False,False,False,False,451.809502,490.2458,487.814333,421.417,383.45852,60.074507,-6.2777,-14.193984,7.916284,18.228571,3.758468,2.30643,0.116642,7.944252,-0.011021,7.346127,-0.120279,-1.070035,-0.063048,-0.576927,0.664179,15.087906,1.302104,5844743.8,6370705.95,7502205.316667,0.813006,0.690386,487.68,411.51001,-0.549541,0.549541,657.0,411.51001,-26.179604,26.179604,739.669983,345.5,-34.430217,34.430217,739.669983,202.869995,-34.430217,34.430217,-34.430217,147.196742,0.022667,0.090942,0.062455,0.005473,-0.254889,0.375418,1.378384,478.885009765625,487.68,476.3599853515625,485.0,474.7999877929688,460.5499877929688,0.022667,True,False,False,True,False,True,False,False,False,0.223058,0.236749,False,False,False,False,False,33.33,False,,Mixed / Neutral,Mixed / Neutral,,False,raw state accepted,False,Deep Pullback,RN Neutral / Consolidation,['Deep Pullback'],True,54.54,16.67,28.57,0.0,20.0,,0.0,38.29,False,,True,False,Missing,Materials,XLB,,,,,,,,,,,,,,,,,,,86.27,Deep Pullback,Not Implemented Yet,,,,,,,,,,,,,False,False,False,False,81.446,53.3926,90.6854,69.3615,67.2864,33.7089,78.6667,,3763.63587343,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,AMAT,376363587343.0,2026-09-25,2026-09-25,Nasdaq screener API,2026-09-26T09:14:25.030952+08:00,"AMAT | Applied Materials, Inc. FY2026 Q3 Earnings Preview",2026-08-09,Strong Up,90.0,N/A,N/A,N/A,Positive evidence,N/A,N/A,N/A,N/A,N/A,N/A,Archive evidence available,N/A,N/A,PARTIAL,Archive-backed; structured consensus fields incomplete,D:\codex\2026-05-17-preview-review-skill-nvda-preview\outputs\amat-preview-2026-08-09.json,2026-08-09,2026-08-09,,81.446,0.0,48.87,0.0,,64.55,79.19,61.31,69.12,66.6,TYPE A,TYPE A,True,Dated fundamental evidence aligns with current Technical V3 structure,Missing forward guidance/consensus or catalyst detail,Next earnings / guidance / order update,Fundamental downgrade or Technical V3 regime deterioration
